currentTick;currentActivePowerConsumption;currentActivePowerPv;currentActivePowerPvAutoConsumption;currentActivePowerPvFeedIn;currentActivePowerChp;currentActivePowerChpAutoConsumption;currentActivePowerChpFeedIn;currentActivePowerBatteryCharging;currentActivePowerBatteryDischarging;currentActivePowerBatteryAutoConsumption;currentActivePowerBatteryFeedIn;currentActivePowerExternal;currentReactivePowerExternal;currentGasPowerExternal;epsCosts;plsCosts;gasCosts;feedInCostsPV;feedInCostsCHP;autoConsumptionCosts;currentPvFeedInPrice
6780;152.0;0.0;0.0;0.0;-5500.0;-152.0;-5348.0;0.0;0.0;0.0;0.0;-5348.0;2684.0;20500.0;-0.013581111111111112;0.00587;0.04555555555555556;0.0;-0.01337;-2.111111111111111E-4;10.0
6840;152.0;0.0;0.0;0.0;-5500.0;-152.0;-5348.0;0.0;0.0;0.0;0.0;-5348.0;2684.0;20500.0;-0.013581111111111112;0.00587;0.04555555555555556;0.0;-0.01337;-2.111111111111111E-4;10.0
6900;152.0;0.0;0.0;0.0;-5500.0;-152.0;-5348.0;0.0;0.0;0.0;0.0;-5348.0;2684.0;20500.0;-0.013581111111111112;0.00587;0.04555555555555556;0.0;-0.01337;-2.111111111111111E-4;10.0
6960;152.0;0.0;0.0;0.0;-5500.0;-152.0;-5348.0;0.0;0.0;0.0;0.0;-5348.0;2684.0;20500.0;-0.013581111111111112;0.00587;0.04555555555555556;0.0;-0.01337;-2.111111111111111E-4;10.0
7020;152.0;0.0;0.0;0.0;-5500.0;-152.0;-5348.0;0.0;0.0;0.0;0.0;-5348.0;2684.0;20500.0;-0.013581111111111112;0.00587;0.04555555555555556;0.0;-0.01337;-2.111111111111111E-4;10.0
7080;152.0;0.0;0.0;0.0;-5500.0;-152.0;-5348.0;0.0;0.0;0.0;0.0;-5348.0;2684.0;20500.0;-0.013581111111111112;0.00587;0.04555555555555556;0.0;-0.01337;-2.111111111111111E-4;10.0
7140;152.0;0.0;0.0;0.0;-5500.0;-152.0;-5348.0;0.0;0.0;0.0;0.0;-5348.0;2684.0;20500.0;-0.013581111111111112;0.00587;0.04555555555555556;0.0;-0.01337;-2.111111111111111E-4;10.0
7200;152.0;0.0;0.0;0.0;-5500.0;-152.0;-5348.0;0.0;0.0;0.0;0.0;-5348.0;2684.0;20500.0;-0.013581111111111112;0.00587;0.04555555555555556;0.0;-0.01337;-2.111111111111111E-4;10.0
7260;149.0;0.0;0.0;0.0;-5500.0;-149.0;-5351.0;0.0;0.0;0.0;0.0;-5351.0;2684.0;20500.0;-0.013584444444444444;0.0058775;0.04555555555555556;0.0;-0.0133775;-2.0694444444444444E-4;10.0
7320;149.0;0.0;0.0;0.0;-5500.0;-149.0;-5351.0;0.0;0.0;0.0;0.0;-5351.0;2684.0;20500.0;-0.013584444444444444;0.0058775;0.04555555555555556;0.0;-0.0133775;-2.0694444444444444E-4;10.0
7380;149.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;149.0;21.0;0.0;0.00108025;0.0;0.0;0.0;0.0;0.0;10.0
7440;149.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;149.0;21.0;0.0;0.00108025;0.0;0.0;0.0;0.0;0.0;10.0
7500;149.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;149.0;21.0;0.0;0.00108025;0.0;0.0;0.0;0.0;0.0;10.0
7560;149.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;149.0;21.0;0.0;0.00108025;0.0;0.0;0.0;0.0;0.0;10.0
7620;149.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;149.0;21.0;0.0;0.00108025;0.0;0.0;0.0;0.0;0.0;10.0
7680;149.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;149.0;21.0;0.0;0.00108025;0.0;0.0;0.0;0.0;0.0;10.0
7740;149.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;149.0;21.0;0.0;0.00108025;0.0;0.0;0.0;0.0;0.0;10.0
7800;149.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;149.0;21.0;0.0;0.00108025;0.0;0.0;0.0;0.0;0.0;10.0
7860;149.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;149.0;21.0;0.0;0.00108025;0.0;0.0;0.0;0.0;0.0;10.0
7920;149.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;149.0;21.0;0.0;0.00108025;0.0;0.0;0.0;0.0;0.0;10.0
